image_name,description
23.jpg,"['houses', 'roads', 'fields', 'trees', 'pond', 'construction area', 'parking lot', 'vegetation', 'open space', 'driveways']"
24.jpg,"['houses', 'roads', 'fields', 'pond', 'trees', 'vegetation', 'driveways']"
25.jpg,"['fields', 'forest', 'ponds', 'roads', 'buildings', 'houses', 'trees', 'vegetation', 'farms']"
26.jpg,"['houses', 'pond', 'fields', 'trees', 'roads', 'fences', 'vegetation', 'open land', 'structures']"
27.jpg,"['fields', 'trees', 'houses', 'roads', 'pond', 'buildings', 'vegetation', 'fence', 'stream']"
28.jpg,"['fields', 'ponds', 'roads', 'houses', 'trees', 'vegetation', 'buildings']"
29.jpg,"['buildings', 'roads', 'fields', 'vegetation', 'structures', 'open spaces', 'dirt patches', 'fencing', 'land parcels']"
30.jpg,"['fields', 'houses', 'pond', 'roads', 'trees', 'buildings', 'vegetation', 'open land', 'structures', 'fences']"
31.jpg,"['fields', 'road', 'buildings', 'houses', 'trees', 'pond', 'structures', 'vehicles', 'gravel areas']"
32.jpg,"['houses', 'roads', 'fields', 'pond', 'trees', 'vegetation', 'buildings', 'structures', 'railroad track', 'open land']"
33.jpg,"['houses', 'roads', 'fields', 'trees', 'ponds', 'structures', 'vegetation']"
34.jpg,"['fields', 'roads', 'buildings', 'ponds', 'vegetation', 'structures']"
35.jpg,"['roads', 'fields', 'houses', 'trees', 'pond', 'curved driveway', 'intersection', 'open space', 'buildings', 'vegetation']"
36.jpg,"['roads', 'fields', 'houses', 'pond', 'trees', 'vegetation', 'intersection']"
37.jpg,"['road', 'buildings', 'houses', 'parking lot', 'pond/lake', 'fields', 'trees', 'grass', 'railroad tracks', 'open space', 'vehicles']"
38.jpg,"['trees', 'fields', 'pond', 'buildings', 'road', 'agricultural land', 'grass', 'open area']"
39.jpg,"['fields', 'roads', 'houses', 'trees', 'ponds', 'buildings', 'vegetation', 'fences']"
40.jpg,"['fields', 'buildings', 'roads', 'vegetation', 'structures']"
41.jpg,"['fields', 'roads', 'buildings', 'trees', 'vegetation', 'open land']"
42.jpg,"['fields', 'trees', 'houses', 'roads', 'pond']"
43.jpg,"['fields', 'buildings', 'roads', 'trees', 'ponds', 'vegetation', 'structures']"
44.jpg,"['fields', 'trees', 'houses', 'roads', 'pond', 'fence', 'vegetation']"
45.jpg,"['fields', 'ponds', 'houses', 'roads', 'trees', 'vegetation', 'buildings', 'structures', 'open land']"
46.jpg,"['fields', 'roads', 'houses', 'buildings', 'trees', 'vegetation', 'structures']"
47.jpg,"['fields', 'roads', 'trees', 'houses', 'buildings', 'paved areas']"
48.jpg,"['fields', 'farms', 'buildings', 'trees', 'roads', 'vegetation patterns']"
49.jpg,"['roads', 'buildings', 'fields', 'trees', 'vegetation', 'wind turbines', 'structures', 'open areas']"
50.jpg,"['houses', 'roads', 'fields', 'trees', 'ponds', 'buildings', 'vegetation', 'open land']"
51.jpg,"['houses', 'roads', 'fields', 'trees', 'ponds', 'fences', 'buildings']"
52.jpg,"['fields', 'houses', 'roads', 'trees', 'farms', 'vegetation', 'buildings', 'open land']"
53.jpg,"['fields', 'road', 'buildings', 'trees', 'houses', 'structures']"
54.jpg,"['field', 'farmland', 'houses', 'roads', 'trees', 'wooded area', 'river/stream', 'vegetation', 'buildings']"
55.jpg,"['fields', 'roads', 'buildings', 'trees', 'pond', 'vegetation']"
56.jpg,"['houses', 'roads', 'fields', 'trees', 'ponds', 'buildings', 'power lines', 'open spaces']"
57.jpg,"['field', 'structure', 'tree']"
58.jpg,"['fields', 'houses', 'trees', 'roads', 'pond', 'vehicles']"
59.jpg,"['houses', 'roads', 'cars', 'trees', 'fields', 'buildings', 'parking lot', 'sidewalks']"
60.jpg,"['farmland', 'fields', 'roads', 'buildings', 'trees', 'ponds', 'vegetation', 'houses']"
61.jpg,"['fields', 'houses', 'trees', 'roads', 'pond']"
62.jpg,"['fields', 'roads', 'houses', 'pond', 'trees', 'fences']"
63.jpg,"['fields', 'roads', 'buildings', 'trees', 'houses', 'structures', 'vegetation', 'farms', 'agricultural land']"
64.jpg,"['fields', 'roads', 'buildings', 'houses', 'trees', 'vegetation', 'structures', 'pavement', 'parking lot', 'industrial area', 'agricultural land']"
65.jpg,"['fields', 'houses', 'trees', 'roads', 'fences', 'vegetation', 'buildings']"
66.jpg,"['fields', 'pond', 'buildings', 'roads', 'trees', 'vegetation', 'farms']"
67.jpg,"['fields', 'roads', 'houses', 'trees', 'pond', 'buildings']"
68.jpg,"['buildings', 'fields', 'roads', 'trees', 'ponds', 'fence', 'vegetation', 'structures', 'open land']"
69.jpg,"['buildings', 'roads', 'fields', 'trees', 'ponds', 'wetlands', 'houses', 'farms']"
70.jpg,"['houses', 'roads', 'fields', 'trees', 'ponds', 'buildings', 'vegetation', 'open land']"
71.jpg,"['roads', 'buildings', 'houses', 'fields', 'trees', 'vegetation', 'water body', 'paved areas', 'open land']"
72.jpg,"['highway', 'on-ramp', 'off-ramp', 'median', 'trees', 'grass', 'field', 'pond', 'houses', 'roads', 'dirt patches']"
73.jpg,"['roads', 'houses', 'buildings', 'trees', 'fields', 'open spaces', 'vegetation', 'parking lots', 'paved areas', 'utility poles']"
74.jpg,"['highway', 'intersection', 'roundabout', 'buildings', 'parking lot', 'trees', 'water body', 'wetland', 'roads', 'bridges', 'vegetation', 'buildings', 'urban area', 'natural area']"
75.jpg,"['buildings', 'roads', 'fields', 'vegetation', 'shadows']"
76.jpg,"['houses', 'roads', 'trees', 'fields', 'buildings', 'vehicles', 'water body']"
77.jpg,"['houses', 'roads', 'trees', 'paved paths', 'vegetation', 'curved streets', 'sidewalks', 'driveways', 'open spaces', 'suburban layout']"
78.jpg,"['fields', 'trees', 'roads', 'houses', 'buildings', 'paved areas', 'grassy areas', 'pond']"
79.jpg,"['houses', 'roads', 'fields', 'trees', 'paved areas', 'vegetation', 'open land', 'buildings', 'driveways']"
80.jpg,"['buildings', 'roads', 'parking lots', 'trees', 'pond', 'open land', 'industrial area', 'residential area']"
81.jpg,"['houses', 'roads', 'buildings', 'parking lots', 'pools', 'trees', 'vegetation', 'sidewalks', 'curved driveways', 'open fields']"
82.jpg,"['fields', 'roads', 'buildings', 'vegetation', 'pond', 'fencing']"
83.jpg,"['fields', 'roads', 'buildings', 'ponds', 'vegetation', 'structures']"
84.jpg,"['fields', 'ponds', 'buildings', 'trees', 'roads', 'structures']"
85.jpg,"['fields', 'roads', 'buildings', 'houses', 'trees', 'vegetation', 'ponds', 'structures']"
86.jpg,"['fields', 'roads', 'houses', 'trees', 'ponds', 'buildings']"
87.jpg,"['pond', 'building', 'road', 'field', 'tree']"
88.jpg,"['fields', 'roads', 'buildings', 'trees', 'vegetation', 'structures', 'landscapes', 'paths']"
89.jpg,"['buildings', 'greenhouses', 'road', 'houses', 'trees', 'fields', 'pond', 'vegetation', 'sidewalks', 'driveways', 'lots']"
90.jpg,"['road', 'parking lot', 'buildings', 'pond', 'trees', 'grass', 'railroad tracks', 'open field', 'construction area', 'water body', 'fence', 'power lines']"
91.jpg,"['building', 'parking lot', 'highway', 'road', 'trees', 'ponds', 'buildings']"
92.jpg,"['roads', 'buildings', 'trees', 'parks', 'ponds', 'sidewalks', 'parking lots', 'vegetation', 'structures', 'curbs']"
93.jpg,"['fields', 'roads', 'buildings', 'trees', 'vegetation', 'structures']"
94.jpg,"['fields', 'houses', 'roads', 'trees', 'buildings', 'vegetation', 'structures']"
95.jpg,"['fields', 'roads', 'buildings', 'trees', 'water bodies', 'irrigation canals','structures']"
96.jpg,"['fields', 'roads', 'buildings', 'trees', 'ponds', 'vegetation', 'structures', 'farms', 'houses']"
97.jpg,"['fields', 'roads', 'buildings', 'houses', 'trees', 'farms', 'structures', 'open areas', 'vegetation', 'cropland', 'roadsides', 'small lots']"
98.jpg,"['fields', 'houses', 'roads', 'trees', 'ponds', 'buildings', 'vegetation']"
99.jpg,"['fields', 'buildings', 'roads', 'trees', 'vegetation', 'structures', 'open land']"
100.jpg,"['highway', 'railroad tracks', 'water body', 'vegetation', 'industrial buildings', 'parking lot', 'roads', 'structures']"
101.jpg,"['roads', 'buildings', 'fields', 'trees', 'ponds', 'open areas']"
102.jpg,"['houses', 'roads', 'fields', 'ponds', 'trees', 'construction site', 'vegetation', 'buildings', 'pools', 'open land']"
103.jpg,"['pond', 'fields', 'trees', 'houses', 'roads', 'structures', 'vegetation', 'open land', 'boundary lines']"
104.jpg,"['buildings', 'roads', 'fields', 'vegetation', 'greenhouses', 'ponds', 'structures', 'open spaces', 'trees']"
105.jpg,"['baseball field', 'stadium', 'parking lot', 'buildings', 'road', 'farmland', 'houses', 'trees', 'open fields', 'tracks']"
106.jpg,"['road', 'buildings', 'houses', 'trees', 'fields', 'parking lot', 'sidewalks', 'curb', 'vegetation', 'open space']"
107.jpg,"['fields', 'trees', 'buildings', 'ponds', 'roads', 'structures', 'open spaces', 'agricultural land', 'patterns in fields', 'shadows', 'vegetation']"
108.jpg,"['houses', 'roads', 'fields', 'trees', 'buildings', 'ponds']"
109.jpg,"['road', 'fields', 'buildings', 'ponds', 'vegetation', 'structures', 'open land']"
110.jpg,"['highway', 'intersection', 'farmland', 'construction site', 'trees', 'buildings', 'paved roads', 'dirt patches', 'vegetation']"
111.jpg,"['buildings', 'parking lot', 'highway', 'trees', 'fields', 'houses', 'roads', 'vegetation', 'dirt patches', 'structures']"
112.jpg,"['airport', 'runway', 'buildings', 'roads', 'trees', 'houses', 'open fields', 'parking area', 'vegetation']"
113.jpg,"['building', 'parking lot', 'open field', 'trees', 'road', 'pond', 'vegetation', 'structures']"
114.jpg,"['Highway', 'Ramp', 'Bridge', 'River', 'Trees', 'Buildings', 'Water', 'Patches of land']"
115.jpg,"['fields', 'houses', 'roads', 'forests', 'pond', 'small buildings']"
116.jpg,"['houses', 'roads', 'fields', 'trees', 'parking lots', 'curved road', 'buildings', 'open land', 'vegetation', 'subdivision', 'residential area', 'green spaces']"
117.jpg,"['road', 'houses', 'trees', 'green area', 'buildings', 'parking lot', 'vegetation', 'water feature']"
118.jpg,"['fields', 'roads', 'buildings', 'vegetation', 'shadows', 'structures', 'paved areas', 'fence', 'trees', 'open land', 'patches of soil']"
119.jpg,"['fields', 'roads', 'houses', 'trees', 'vegetation', 'buildings', 'shadows', 'fences']"
120.jpg,"['houses', 'roads', 'ponds', 'fields', 'trees', 'parking lots', 'buildings', 'pavement', 'curves', 'open spaces']"
121.jpg,"['buildings', 'roads', 'intersection', 'parking lots', 'green spaces', 'pond', 'sidewalks', 'trees', 'playground', 'sports fields']"
122.jpg,"['fields', 'roads', 'buildings', 'trees', 'pond', 'wires', 'structures', 'vegetation', 'rural landscape']"
123.jpg,"['buildings', 'fields', 'pond', 'roads', 'trees', 'vegetation']"
124.jpg,"['field', 'road', 'pond', 'farmhouse', 'trees', 'vegetation', 'building', 'structure', 'fence', 'path']"
125.jpg,"['houses', 'roads', 'fields', 'trees', 'ponds', 'lot', 'open space', 'driveways', 'vegetation', 'buildings']"
126.jpg,"['fields', 'roads', 'buildings', 'trees', 'structures']"
127.jpg,"['field', 'road', 'trees', 'houses', 'farmland', 'patches']"
128.jpg,"['field', 'trees', 'pond', 'building', 'road', 'vehicles']"
129.jpg,"['buildings', 'roads', 'fields', 'forested area', 'rectangular structures', 'trees', 'open land', 'agricultural fields']"
130.jpg,"['trees', 'houses', 'roads', 'driveways', 'open fields', 'vegetation', 'buildings', 'structures', 'landscaping', 'clearing', 'dirt paths']"
131.jpg,"['fields', 'houses', 'roads', 'trees', 'pond', 'open land']"
132.jpg,"['fields', 'houses', 'roads', 'trees', 'buildings', 'fences', 'ponds']"
133.jpg,"['houses', 'roads', 'fields', 'vegetation', 'open land', 'trees', 'structures']"
134.jpg,"['ponds', 'houses', 'roads', 'fields', 'trees', 'vegetation', 'buildings', 'water bodies', 'open spaces']"
135.jpg,"['houses', 'roads', 'fields', 'trees', 'ponds', 'vegetation', 'buildings', 'open spaces', 'structures']"
136.jpg,"['houses', 'roads', 'fields', 'trees', 'curved road', 'straight roads', 'buildings']"
137.jpg,"['fields', 'houses', 'roads', 'trees', 'buildings', 'open land', 'vegetation', 'structures']"
138.jpg,"['fields', 'trees', 'ponds', 'vehicles', 'buildings', 'roads', 'tracks']"
139.jpg,"['field', 'building', 'road', 'trees', 'pond', 'construction site', 'vegetation', 'open land']"
140.jpg,"['houses', 'roads', 'ponds', 'fields', 'trees', 'buildings', 'landscaping', 'water bodies', 'vegetation']"
141.jpg,"['houses', 'roads', 'fields', 'trees', 'ponds', 'open spaces', 'buildings']"
142.jpg,"['fields', 'roads', 'buildings', 'trees', 'ponds', 'vegetation', 'structures', 'farms']"
143.jpg,"['fields', 'trees', 'houses', 'roads', 'ponds', 'buildings', 'vegetation', 'farms', 'open land']"
144.jpg,"['highway', 'cars', 'houses', 'buildings', 'trees', 'vegetation', 'roads', 'sidewalks', 'driveways']"
145.jpg,"['roads', 'highway', 'intersection', 'overpass', 'buildings', 'open field', 'trees', 'vegetation', 'sidewalks', 'houses', 'roadsides', 'curves', 'lanes', 'traffic', 'structures', 'pavement']"
146.jpg,"['houses', 'roads', 'fields', 'pond', 'trees']"
147.jpg,"['houses', 'roads', 'trees', 'fields', 'vegetation', 'buildings']"
148.jpg,"['houses', 'roads', 'fields', 'trees', 'driveways', 'vegetation', 'open land']"
149.jpg,"['houses', 'roads', 'fields', 'trees', 'pond', 'fences', 'open spaces', 'vegetation']"
150.jpg,"['pond', 'houses', 'roads', 'trees', 'fields', 'buildings', 'open land', 'vegetation']"
151.jpg,"['fields', 'houses', 'trees', 'roads', 'vegetation', 'structures']"
152.jpg,"['fields', 'ponds', 'roads', 'buildings', 'trees']"
153.jpg,"['fields', 'roads', 'ponds', 'buildings', 'houses', 'vegetation', 'structures']"
154.jpg,"['houses', 'roads', 'ponds', 'fields', 'trees', 'lawns', 'paths', 'vegetation']"
155.jpg,"['fields', 'trees', 'buildings', 'roads', 'pond', 'vegetation', 'structures']"
156.jpg,"['buildings', 'roads', 'highway', 'trees', 'open land', 'vegetation', 'paved areas', 'sidewalks', 'traffic lanes', 'dirt patches', 'parking lots', 'streets', 'curbs']"
157.jpg,"['houses', 'roads', 'trees', 'fields', 'parking lots', 'ponds', 'buildings', 'sports fields', 'vegetation', 'water bodies', 'open spaces']"
158.jpg,"['building', 'parking lot', 'road', 'sidewalk', 'playground', 'tennis courts', 'football field', 'trees', 'grass', 'pathway', 'driveway', 'roundabout', 'open space']"
159.jpg,"['buildings', 'roads', 'parking lot', 'trees', 'fields', 'sidewalks', 'curb', 'open space', 'satellite dishes']"
160.jpg,"['farmland', 'fields', 'houses', 'buildings', 'roads', 'trees', 'forests', 'pond', 'water body', 'vegetation', 'structures', 'houses', 'buildings', 'roads', 'fields', 'vegetation', 'pond', 'water body', 'forests', 'trees']"
161.jpg,"['houses', 'roads', 'pond', 'trees', 'fields']"
162.jpg,"['fields', 'roads', 'buildings', 'houses', 'trees', 'vegetation', 'structures', 'vehicles', 'fences']"
163.jpg,"['farmland', 'fields', 'vegetation', 'roads', 'text', 'map', 'boundary lines']"
164.jpg,"['houses', 'roads', 'trees', 'open fields', 'paved areas', 'vegetation', 'dirt paths', 'buildings', 'structures']"
165.jpg,"['houses', 'roads', 'trees', 'fields', 'yards', 'buildings']"
166.jpg,"['houses', 'roads', 'trees', 'fields', 'lakes', 'driveways', 'vehicles', 'fences', 'open spaces', 'vegetation', 'structures']"
167.jpg,"['houses', 'roads', 'trees', 'fields', 'ponds', 'swimming pools', 'curved pathways', 'vegetation', 'grassy areas', 'buildings']"
168.jpg,"['fields', 'pond', 'houses', 'trees', 'roads', 'buildings', 'vegetation', 'open land']"
169.jpg,"['houses', 'buildings', 'fields', 'roads', 'trees', 'pond', 'airplane', 'tracks', 'vehicles', 'fence', 'vegetation']"
170.jpg,"['houses', 'roads', 'trees', 'fields', 'ponds', 'open land', 'construction site', 'vehicles', 'fences']"
171.jpg,"['houses', 'roads', 'fields', 'trees', 'buildings', 'parking lots', 'open land']"
172.jpg,"['houses', 'roads', 'fields', 'trees', 'vehicles', 'buildings', 'open land', 'vegetation', 'structures']"
173.jpg,"['houses', 'roads', 'sidewalks', 'trees', 'vegetation', 'open fields', 'parking lots', 'buildings']"
174.jpg,"['buildings', 'roads', 'parks', 'grassy areas', 'trees', 'houses', 'driveways', 'sidewalks', 'open spaces']"
175.jpg,"['houses', 'roads', 'trees', 'pond', 'fields', 'buildings', 'vegetation', 'open land', 'structures']"
176.jpg,"['baseball fields', 'outfields', 'infields', 'dugouts', 'buildings', 'roads', 'sidewalks', 'trees', 'open fields', 'construction area', 'parking lots']"
177.jpg,"['buildings', 'roads', 'fields', 'ponds', 'trees', 'vegetation', 'houses', 'structures']"
178.jpg,"['houses', 'roads', 'fields', 'trees', 'gardens', 'ponds', 'buildings']"
179.jpg,"['football field', 'soccer field', 'buildings', 'parking lot', 'roads', 'trees', 'open land', 'pond', 'industrial area', 'residential area']"
180.jpg,"['buildings', 'parking lots', 'roads', 'flooded area', 'water', 'trees', 'vegetation', 'sidewalks']"
181.jpg,"['houses', 'roads', 'fields', 'trees', 'pond', 'driveways', 'buildings', 'open land']"
182.jpg,"['houses', 'roads', 'pond', 'fields', 'trees', 'paths', 'open spaces']"
183.jpg,"['buildings', 'fields', 'roads', 'trees', 'vegetation', 'structures']"
184.jpg,"['buildings', 'houses', 'roads', 'fields', 'grass', 'trees', 'parking lot', 'structures', 'fences', 'open land']"
185.jpg,"['fields', 'roads', 'buildings', 'water body', 'vegetation', 'structures']"
186.jpg,"['houses', 'roads', 'fields', 'ponds', 'vegetation', 'vehicles', 'buildings', 'structures', 'plots', 'farms']"
187.jpg,"['houses', 'roads', 'fields', 'trees', 'pond', 'vehicles', 'driveways']"
188.jpg,"['buildings', 'ponds', 'fields', 'roads', 'trees', 'vegetation']"
189.jpg,"['roads', 'buildings', 'parking lots', 'trees', 'grass', 'dirt patches', 'utility poles', 'power lines', 'sidewalks', 'curbs', 'driveways', 'open fields']"
190.jpg,"['highway', 'fields', 'forests', 'pond/lake', 'buildings', 'roads', 'vegetation', 'industrial area', 'open land']"
191.jpg,"['oil storage tanks', 'industrial buildings', 'pipeline', 'roads', 'vegetation', 'parking lot', 'small structures']"
192.jpg,"['buildings', 'roads', 'parking lots', 'railway tracks', 'river/canal', 'vegetation', 'open spaces', 'small structures']"
193.jpg,"['fields', 'houses', 'roads', 'buildings', 'trees', 'vegetation', 'railroad', 'structures']"
194.jpg,"['houses', 'roads', 'curved road', 'pond', 'trees', 'fields', 'houses']"
195.jpg,"['fields', 'trees', 'houses', 'roads', 'pond', 'buildings', 'vegetation', 'open land']"
196.jpg,"['roads', 'buildings', 'parking lots', 'trees', 'open fields', 'construction site', 'railroad tracks', 'grass', 'structures']"
197.jpg,"['buildings', 'roads', 'trees', 'pond/lake', 'parking lots', 'vegetation', 'paths/trails', 'structures']"
198.jpg,"['roads', 'buildings', 'parking lots', 'trees', 'industrial structures', 'vehicles', 'open spaces', 'railroad tracks', 'sidewalks', 'curb', 'grassy areas']"
199.jpg,"['roads', 'buildings', 'parking lots', 'trees', 'industrial structures', 'vehicles', 'overpass', 'dirt areas', 'open spaces', 'traffic lanes', 'sidewalks', 'vegetation', 'curbs']"
200.jpg,"['baseball field', 'outfield', 'infield', 'bases', 'home plate', 'running track', 'houses', 'trees', 'road', 'paved area', 'grass', 'dirt patches', 'buildings', 'vegetation', 'structures', 'open land']"
201.jpg,"['houses', 'roads', 'trees', 'fields', 'pond', 'structures', 'tracks']"
202.jpg,"['building', 'road', 'water body', 'parking lot', 'vegetation', 'pond', 'dirt area', 'access road']"
203.jpg,"['fields', 'buildings', 'trees', 'roads', 'pond']"
204.jpg,"['fields', 'ponds', 'buildings', 'roads', 'vegetation', 'farms']"
205.jpg,"['fields', 'trees', 'houses', 'roads', 'pipelines', 'vegetation', 'structures']"
